YEAR,MONTH,lluvia_mm,temp_max,temp_min,humedad,ph_suelo,Recomendacion
2003,APR,0.11128224874855605,0.6990521327014219,0.45659163987138274,0.3516068052930059,0.38898163606010017,1
2004,APR,0.07046592221794379,0.7310426540284363,0.5932475884244373,0.3804347826086958,0.41235392320534237,1
2005,APR,0.26107046592221794,0.47393364928909953,0.39710610932475876,0.5987712665406422,0.9766277128547578,1
2006,APR,0.08394301116673086,0.47393364928909953,0.42926045016077174,0.4905482041587903,0.681135225375626,1
2007,APR,0.16172506738544473,0.6682464454976302,0.4453376205787778,0.48156899810964093,0.2954924874791319,1
2008,APR,0.1913746630727763,0.3827014218009479,0.38906752411575574,0.5283553875236295,0.308848080133556,2
2009,APR,0.06083943011166732,0.4372037914691944,0.5369774919614148,0.40548204158790213,0.13021702838063443,1
2010,APR,0.14324220254139394,0.7511848341232228,0.46945337620578775,0.44234404536862026,0.621035058430718,1
2011,APR,0.0581440123219099,0.6552132701421804,0.33601286173633427,0.29725897920604893,0.20033388981636058,1
2012,APR,0.1366961879091259,0.5035545023696684,0.36816720257234725,0.4749527410207941,0.9916527545909848,1
2013,APR,0.16326530612244897,0.5438388625592419,0.5707395498392283,0.522211720226843,0.12353923205342232,1
2014,APR,0.24797843665768196,0.6706161137440758,0.5868167202572347,0.5562381852551983,0.1719532554257095,1
2015,APR,0.14786291875240662,0.640995260663507,0.49839228295819926,0.5737240075614363,0.3121869782971619,1
2016,APR,0.11744320369657298,0.7559241706161135,0.5916398713826363,0.341682419659735,0.7278797996661102,1
2017,APR,0.1990758567577975,0.6018957345971567,0.5755627009646302,0.594045368620038,0.9248747913188649,1
2018,APR,0.18713900654601465,0.3992890995260665,0.3938906752411573,0.655954631379962,0.7512520868113521,3
2019,APR,0.18213323065075088,0.7440758293838865,0.6961414790996783,0.4149338374291114,0.7362270450751252,1
2020,APR,0.2522140931844436,0.6161137440758293,0.5787781350482313,0.47400756143667255,0.5826377295492489,1
2021,APR,0.3742780130920293,0.42654028436018976,0.5498392282958198,0.7344045368620034,0.1752921535893155,2
2022,APR,0.3172891798228726,0.4751184834123223,0.6237942122186497,0.66351606805293,0.9115191986644409,3
2023,APR,0.13053523296110897,0.6812796208530805,0.45659163987138274,0.475425330812854,0.006677796327211993,1
2024,APR,0.21948402002310358,0.7855450236966823,0.48713826366559476,0.46880907372400715,0.43405676126878134,1
1981,MAY,0.25567963034270313,0.4443127962085307,0.6511254019292603,0.6942344045368625,0.27045075125208684,1
1982,MAY,0.34193299961494034,0.528436018957346,0.5225080385852088,0.5855387523629485,0.998330550918197,1
1983,MAY,0.11513284559106662,0.5758293838862558,0.5964630225080387,0.5401701323251418,0.3355592654424039,1
1984,MAY,0.18328840970350407,0.5876777251184837,0.5723472668810288,0.4536862003780717,0.330550918196995,1
1985,MAY,0.08432807085098191,0.7701421800947865,0.41318327974276525,0.29300567107750464,0.8313856427378965,1
1986,MAY,0.17096649980747017,0.84478672985782,0.6495176848874598,0.44376181474480125,0.4941569282136894,1
1987,MAY,0.15633423180592992,0.5118483412322274,0.7668810289389068,0.6181474480151232,0.7846410684474123,1
1988,MAY,0.123989218328841,0.7203791469194316,0.6655948553054658,0.4078449905482042,0.8898163606010017,1
1989,MAY,0.07778205621871391,0.683649289099526,0.7781350482315113,0.36672967863894135,0.6060100166944908,1
1990,MAY,0.13631112822487487,0.6054502369668247,0.8376205787781348,0.5127599243856333,0.26544240400667773,1
1991,MAY,0.20061609549480172,0.4609004739336493,0.6286173633440513,0.7022684310018903,0.4774624373956594,1
1992,MAY,0.12822487485560263,0.6374407582938386,0.5241157556270093,0.4546313799621928,0.8831385642737897,1
1993,MAY,0.2968810165575665,0.6469194312796209,0.8810289389067518,0.685727788279773,0.7161936560934892,1
1994,MAY,0.04004620716211014,0.7997630331753554,0.6800643086816718,0.3733459357277882,0.71118530884808,1
1995,MAY,0.20754716981132076,0.6137440758293837,0.7395498392282958,0.5888468809073721,0.5091819699499165,1
1996,MAY,0.17597227570273394,0.6599526066350712,0.8681672025723473,0.5349716446124764,0.1752921535893155,1
1997,MAY,0.2495186753946862,0.5734597156398102,0.6286173633440513,0.6403591682419663,0.8514190317195325,1
1998,MAY,0.24566807855217562,0.9218009478672986,0.7636655948553057,0.4314744801512287,0.7328881469115192,1
1999,MAY,0.2918752406623027,0.2902843601895735,0.7041800643086817,0.7646502835538751,0.43405676126878134,2
2000,MAY,0.25144397381594147,0.47156398104265396,0.7668810289389068,0.6833648393194709,0.5642737896494157,1
2001,MAY,0.1921447824412784,0.6599526066350712,0.7073954983922828,0.5127599243856333,0.5158597662771285,1
2002,MAY,0.40007701193685025,0.35781990521327023,0.7073954983922828,0.8161625708884683,0.8480801335559265,3
2003,MAY,0.35001925298421255,0.6078199052132702,0.6366559485530547,0.8100189035916818,0.4741235392320534,2
2004,MAY,0.2803234501347709,0.41113744075829395,0.8922829581993568,0.7793005671077502,0.11185308848080133,2
2005,MAY,0.21717366191759724,0.5094786729857823,0.8070739549839228,0.7670132325141772,0.8881469115191987,1
2006,MAY,0.28994994224104736,0.45497630331753536,0.5176848874598072,0.7263705103969755,0.09682804674457424,1
2007,MAY,0.3353869849826724,0.4526066350710902,0.8504823151125402,0.799621928166351,0.12020033388981632,2
2008,MAY,0.25298421255294573,0.5130331753554507,0.5659163987138263,0.6550094517958414,0.981636060100167,1
2009,MAY,0.19484020023103582,0.5604265402843605,0.7813504823151127,0.5822306238185257,0.6160267111853088,1
2010,MAY,0.28571428571428575,0.42654028436018976,0.9083601286173633,0.7915879017013223,0.008347245409014992,2
2011,MAY,0.12013862148633041,0.7440758293838865,0.6270096463022508,0.3553875236294899,0.6928213689482472,1
2012,MAY,0.16326530612244897,0.546208530805687,0.7491961414790993,0.6361058601134211,0.8697829716193657,1
2013,MAY,0.2703118983442434,0.588862559241706,0.06591639871382626,0.6545368620037806,0.2838063439065108,1
2014,MAY,0.215633423180593,0.4774881516587679,0.6028938906752412,0.6403591682419663,0.7813021702838063,1
2015,MAY,0.3142087023488641,0.4135071090047391,0.41800643086816724,0.7424385633270321,0.6310517529215358,3
2016,MAY,0.20947246823257606,0.7630331753554502,0.6655948553054658,0.5562381852551983,0.6911519198664442,1
2017,MAY,0.7085098190219485,0.4431279620853079,0.8665594855305463,0.9258034026465021,0.9599332220367278,3
2018,MAY,0.3943011166730844,0.4620853080568721,0.5498392282958198,0.7263705103969755,0.7212020033388982,3
2019,MAY,0.5190604543704275,0.5213270142180093,0.9131832797427653,0.8577504725897915,0.3121869782971619,2
2020,MAY,0.29803619561031963,0.5521327014218009,0.8504823151125402,0.7268431001890354,0.642737896494157,1
2021,MAY,0.3966114747785907,0.44194312796208557,0.6479099678456588,0.8388468809073721,0.25876460767946574,2
2022,MAY,0.3299961494031575,0.44075829383886234,0.6913183279742763,0.8166351606805291,0.315525876460768,2
2023,MAY,0.2860993453985368,0.5983412322274884,0.8151125401929258,0.5760869565217392,0.07178631051752926,1
2024,MAY,0.9742010011551792,0.6706161137440758,0.7781350482315113,0.6729678638941401,0.669449081803005,3
1981,JUN,0.45591066615325376,0.27725118483412325,0.48231511254019277,0.8983931947069941,0.45409015025041743,2
1982,JUN,0.1116673084328071,0.42654028436018976,0.5659163987138263,0.7537807183364835,0.3522537562604341,2
1983,JUN,0.17674239507123607,0.46445497630331767,0.6720257234726688,0.6427221172022684,0.9065108514190316,1
1984,JUN,0.22179437812860997,0.28672985781990556,0.38263665594855323,0.7603969754253308,0.07345575959933226,2
1985,JUN,0.3080477474008471,0.359004739336493,0.4726688102893888,0.7230623818525519,0.5926544240400666,3
1986,JUN,0.30612244897959184,0.4372037914691944,0.6302250803858518,0.7188090737240076,0.3288814691151921,1
1987,JUN,0.17982287254524454,0.4798578199052135,0.4051446945337618,0.6086956521739131,0.39398998330550916,1
1988,JUN,0.1024258760107817,0.580568720379147,0.5771704180064308,0.5576559546313797,0.22871452420701166,1
1989,JUN,0.20600693107431653,0.42890995260663534,0.5980707395498392,0.6474480151228734,0.5976627712854758,3
1990,JUN,0.1732768579129765,0.5,0.7186495176848873,0.6942344045368625,0.11018363939899833,1
1991,JUN,0.1624951867539469,0.3696682464454977,0.5209003215434083,0.7211720226843097,0.27045075125208684,2
1992,JUN,0.10088563727377746,0.6824644549763037,0.7990353697749197,0.5699432892249527,0.1419031719532554,1
1993,JUN,0.1659607239122064,0.24407582938388606,0.8118971061093243,0.8525519848771266,0.23205342237061777,2
1994,JUN,0.09433962264150945,0.5758293838862558,0.7540192926045013,0.5382797731568996,0.5525876460767947,1
1995,JUN,0.22564497497112054,0.4158767772511851,0.7524115755627012,0.8284499054820413,0.4691151919866444,2
1996,JUN,0.10050057758952638,0.3732227488151656,0.6832797427652733,0.7481096408317578,0.4808013355592654,2
1997,JUN,0.30612244897959184,0.520142180094787,0.44694533762057875,0.8752362948960304,0.9148580968280469,1
1998,JUN,0.2826338082402773,0.39336492890995256,0.9131832797427653,0.831758034026465,0.7328881469115192,3
1999,JUN,0.34077782056218714,0.2452606635071093,0.5659163987138263,0.8969754253308126,0.20033388981636058,2
2000,JUN,0.32961108971890646,0.2689573459715642,0.44694533762057875,0.8794896030245747,0.5358931552587645,3
